"Story","Title","Result","Date","Stability","Duration (s)"
"find cars in the system, using the different search options","Reserve a rental car","SUCCESS","2020-11-16T20:20:56.058-05:00[America/Bogota]","0.0","84.23"
"find cars in the system, using the different search options","Reserve an Airport Transportation","PENDING","2020-11-16T20:22:21.828-05:00[America/Bogota]","0.0","0.03"
"find cars in the system, using the different search options","Reserve a rental car with preferred brand but without discount code","PENDING","2020-11-16T20:22:21.865-05:00[America/Bogota]","0.0","0.02"
"find cars in the system, using the different search options","Reserve a rental car with preferred brand and discount type corporate","PENDING","2020-11-16T20:22:21.885-05:00[America/Bogota]","0.0","0.04"
"find cruises in the system, using the different search options","Find the cheapest cruise","SUCCESS","2020-11-16T20:22:30.528-05:00[America/Bogota]","0.0","49.45"
"find cruises in the system, using the different search options","Reserve the cheapest cruise","PENDING","2020-11-16T20:23:21.377-05:00[America/Bogota]","0.0","0.02"
"find cruises in the system, using the different search options","Cancell reserve the cheapest cruise","PENDING","2020-11-16T20:23:21.401-05:00[America/Bogota]","0.0","0.01"
"find flights in the system, using the different search options","Find a one way flight","SUCCESS","2020-11-16T20:23:24.613-05:00[America/Bogota]","0.0","58.07"
"find flights in the system, using the different search options","Reserve a multi city flight","PENDING","2020-11-16T20:24:24.258-05:00[America/Bogota]","0.0","0.04"
"find flights in the system, using the different search options","Reserve a roundtrip flight","PENDING","2020-11-16T20:24:24.313-05:00[America/Bogota]","0.0","0.02"
"find flights in the system, using the different search options","Reserve a roundtrip flight with car","PENDING","2020-11-16T20:24:24.343-05:00[America/Bogota]","0.0","0.01"
"find flights in the system, using the different search options","Reserve a flight with car and place to stay","PENDING","2020-11-16T20:24:24.361-05:00[America/Bogota]","0.0","0.01"
"find hotels in the system, using the different search options","Find the cheapest hotel","SUCCESS","2020-11-16T20:24:27.403-05:00[America/Bogota]","0.0","77.97"
"find hotels in the system, using the different search options","Reserve a hotel","PENDING","2020-11-16T20:25:46.644-05:00[America/Bogota]","0.0","0.04"
"find hotels in the system, using the different search options","Reserve a hotel with car","PENDING","2020-11-16T20:25:46.686-05:00[America/Bogota]","0.0","0.04"
"find hotels in the system, using the different search options","Reserve a hotel with car and flight","PENDING","2020-11-16T20:25:46.726-05:00[America/Bogota]","0.0","0.02"
"find things to do in the system, using the different search options","Find the historical city tour","SUCCESS","2020-11-16T20:25:48.983-05:00[America/Bogota]","0.0","41.09"
"find things to do in the system, using the different search options","Reserve an activity to do","PENDING","2020-11-16T20:26:31.48-05:00[America/Bogota]","0.0","0.02"
